Full,Top,Mid1,Mid2,Last
2,0,0,1,1
228,222,0,0,0
364,337,23,1,1
497,433,58,1,2
650,525,117,2,1
783,616,140,0,1
874,651,186,0,3
948,690,195,0,2
1051,740,218,0,1
1129,781,243,0,3
1175,815,237,0,3
