count,unique,nodes_num,top10,top10_20,mid,last,precision_10,recall_10,precision_20,recall_20
27,16.16766467065868,167,6,8,4,0,0.375,0.2222222222222222,0.42424242424242425,0.5185185185185185
29,13.679245283018867,212,8,7,1,0,0.38095238095238093,0.27586206896551724,0.35714285714285715,0.5172413793103449
36,14.516129032258066,248,15,6,4,0,0.625,0.4166666666666667,0.42857142857142855,0.5833333333333334
46,17.557251908396946,262,15,9,3,0,0.5769230769230769,0.32608695652173914,0.46153846153846156,0.5217391304347826
46,16.60649819494585,277,12,10,3,0,0.4444444444444444,0.2608695652173913,0.4,0.4782608695652174
57,20.0,285,17,14,6,0,0.6071428571428571,0.2982456140350877,0.543859649122807,0.543859649122807
77,26.73611111111111,288,19,13,9,0,0.6785714285714286,0.24675324675324675,0.5614035087719298,0.4155844155844156
90,30.508474576271187,295,20,15,11,0,0.6896551724137931,0.2222222222222222,0.5932203389830508,0.3888888888888889
106,35.57046979865772,298,23,23,13,0,0.7931034482758621,0.2169811320754717,0.7796610169491526,0.4339622641509434
108,36.0,300,22,17,9,1,0.7333333333333333,0.2037037037037037,0.65,0.3611111111111111
117,38.87043189368771,301,23,21,12,2,0.7666666666666667,0.19658119658119658,0.7333333333333333,0.37606837606837606
120,39.473684210526315,304,24,16,13,2,0.8,0.2,0.6666666666666666,0.3333333333333333
140,45.751633986928105,306,26,23,12,3,0.8666666666666667,0.18571428571428572,0.8032786885245902,0.35
156,50.814332247557005,307,28,21,11,4,0.9333333333333333,0.1794871794871795,0.8032786885245902,0.3141025641025641
170,55.37459283387622,307,28,22,18,4,0.9333333333333333,0.16470588235294117,0.819672131147541,0.29411764705882354
189,61.563517915309454,307,27,28,18,10,0.9,0.14285714285714285,0.9016393442622951,0.291005291005291
183,59.03225806451613,310,31,26,17,10,1.0,0.16939890710382513,0.9193548387096774,0.3114754098360656
187,59.17721518987342,316,31,25,23,6,1.0,0.1657754010695187,0.8888888888888888,0.2994652406417112
202,63.125,320,28,27,25,10,0.875,0.13861386138613863,0.859375,0.2722772277227723
216,67.5,320,32,25,20,13,1.0,0.14814814814814814,0.890625,0.2638888888888889
222,69.1588785046729,321,29,29,24,11,0.90625,0.13063063063063063,0.90625,0.26126126126126126
241,74.84472049689441,322,31,29,25,15,0.96875,0.12863070539419086,0.9375,0.24896265560165975
240,74.30340557275542,323,31,27,23,12,0.96875,0.12916666666666668,0.90625,0.24166666666666667
258,79.87616099071208,323,30,29,23,15,0.9375,0.11627906976744186,0.921875,0.22868217054263565
249,77.08978328173374,323,31,26,26,14,0.96875,0.12449799196787148,0.890625,0.2289156626506024
255,78.70370370370371,324,31,25,26,18,0.96875,0.12156862745098039,0.875,0.2196078431372549
272,83.6923076923077,325,30,31,28,22,0.9375,0.11029411764705882,0.9384615384615385,0.22426470588235295
284,87.11656441717791,326,30,30,32,24,0.9375,0.1056338028169014,0.9230769230769231,0.2112676056338028
282,86.50306748466258,326,30,33,30,28,0.9375,0.10638297872340426,0.9692307692307692,0.22340425531914893
288,88.34355828220859,326,32,32,30,25,1.0,0.1111111111111111,0.9846153846153847,0.2222222222222222
284,87.11656441717791,326,30,33,29,21,0.9375,0.1056338028169014,0.9692307692307692,0.22183098591549297
282,86.23853211009175,327,30,31,29,23,0.9375,0.10638297872340426,0.9384615384615385,0.21631205673758866
289,88.37920489296636,327,32,33,31,25,1.0,0.11072664359861592,1.0,0.22491349480968859
284,86.85015290519877,327,31,31,31,26,0.96875,0.10915492957746478,0.9538461538461539,0.21830985915492956
291,88.9908256880734,327,30,33,31,24,0.9375,0.10309278350515463,0.9692307692307692,0.21649484536082475
307,93.88379204892966,327,30,33,33,26,0.9375,0.09771986970684039,0.9692307692307692,0.20521172638436483
297,90.82568807339449,327,31,30,31,27,0.96875,0.10437710437710437,0.9384615384615385,0.2053872053872054
301,92.04892966360856,327,32,32,30,25,1.0,0.10631229235880399,0.9846153846153847,0.21262458471760798
311,95.10703363914374,327,32,31,32,29,1.0,0.10289389067524116,0.9692307692307692,0.20257234726688103
313,95.71865443425077,327,32,33,32,28,1.0,0.10223642172523961,1.0,0.20766773162939298
311,95.10703363914374,327,32,28,33,31,1.0,0.10289389067524116,0.9230769230769231,0.19292604501607716
321,98.1651376146789,327,32,33,32,31,1.0,0.09968847352024922,1.0,0.20249221183800623
311,95.10703363914374,327,32,31,33,29,1.0,0.10289389067524116,0.9692307692307692,0.20257234726688103
311,95.10703363914374,327,32,32,31,31,1.0,0.10289389067524116,0.9846153846153847,0.2057877813504823
308,94.18960244648318,327,31,32,31,28,0.96875,0.10064935064935066,0.9692307692307692,0.20454545454545456
315,96.3302752293578,327,32,33,32,33,1.0,0.10158730158730159,1.0,0.20634920634920634
309,94.4954128440367,327,32,33,28,33,1.0,0.10355987055016182,1.0,0.21035598705501618
320,97.85932721712538,327,32,33,33,32,1.0,0.1,1.0,0.203125
