count,unique,nodes_num,top10,top10_20,mid,last,precision_10,recall_10,precision_20,recall_20
16,45.714285714285715,35,3,3,2,1,1.0,0.1875,0.8571428571428571,0.375
21,43.75,48,4,3,3,2,1.0,0.19047619047619047,0.7777777777777778,0.3333333333333333
29,50.0,58,5,6,4,0,1.0,0.1724137931034483,1.0,0.3793103448275862
32,48.484848484848484,66,5,6,4,0,0.8333333333333334,0.15625,0.8461538461538461,0.34375
36,50.0,72,7,4,3,1,1.0,0.19444444444444445,0.7857142857142857,0.3055555555555556
51,68.0,75,7,8,4,2,1.0,0.13725490196078433,1.0,0.29411764705882354
54,68.35443037974683,79,7,6,6,1,1.0,0.12962962962962962,0.8666666666666667,0.24074074074074073
58,71.60493827160494,81,8,7,7,4,1.0,0.13793103448275862,0.9375,0.25862068965517243
56,67.46987951807229,83,8,8,4,5,1.0,0.14285714285714285,1.0,0.2857142857142857
63,75.0,84,8,8,5,7,1.0,0.12698412698412698,1.0,0.25396825396825395
59,69.41176470588235,85,8,8,3,6,1.0,0.13559322033898305,0.9411764705882353,0.2711864406779661
65,75.5813953488372,86,8,7,7,5,1.0,0.12307692307692308,0.8823529411764706,0.23076923076923078
74,85.0574712643678,87,8,9,6,6,1.0,0.10810810810810811,1.0,0.22972972972972974
78,84.78260869565217,92,9,8,10,7,1.0,0.11538461538461539,0.9444444444444444,0.21794871794871795
79,85.86956521739131,92,9,8,10,6,1.0,0.11392405063291139,0.9444444444444444,0.21518987341772153
76,80.85106382978722,94,9,8,9,5,1.0,0.11842105263157894,0.9444444444444444,0.2236842105263158
75,77.31958762886599,97,9,10,9,2,1.0,0.12,1.0,0.25333333333333335
91,93.81443298969072,97,9,10,8,8,1.0,0.0989010989010989,1.0,0.2087912087912088
89,91.75257731958763,97,8,10,10,10,0.8888888888888888,0.0898876404494382,0.9473684210526315,0.20224719101123595
90,91.83673469387756,98,9,10,8,10,1.0,0.1,1.0,0.2111111111111111
94,94.0,100,10,10,10,8,1.0,0.10638297872340426,1.0,0.2127659574468085
94,90.38461538461539,104,10,10,10,9,1.0,0.10638297872340426,1.0,0.2127659574468085
95,91.34615384615384,104,10,10,11,8,1.0,0.10526315789473684,1.0,0.21052631578947367
98,94.23076923076923,104,10,10,10,11,1.0,0.10204081632653061,1.0,0.20408163265306123
103,98.09523809523809,105,10,11,10,10,1.0,0.0970873786407767,1.0,0.20388349514563106
102,96.22641509433963,106,10,11,11,9,1.0,0.09803921568627451,1.0,0.20588235294117646
106,98.14814814814815,108,10,11,11,9,1.0,0.09433962264150944,1.0,0.19811320754716982
105,96.3302752293578,109,10,11,11,11,1.0,0.09523809523809523,1.0,0.2
105,96.3302752293578,109,10,11,11,11,1.0,0.09523809523809523,1.0,0.2
107,98.1651376146789,109,10,11,11,11,1.0,0.09345794392523364,1.0,0.19626168224299065
104,94.54545454545455,110,11,11,11,9,1.0,0.10576923076923077,1.0,0.21153846153846154
106,96.36363636363636,110,11,11,11,9,1.0,0.10377358490566038,1.0,0.20754716981132076
106,96.36363636363636,110,11,11,11,9,1.0,0.10377358490566038,1.0,0.20754716981132076
106,95.4954954954955,111,11,11,11,11,1.0,0.10377358490566038,1.0,0.20754716981132076
109,98.1981981981982,111,11,11,11,12,1.0,0.10091743119266056,1.0,0.2018348623853211
111,100.0,111,11,11,11,12,1.0,0.0990990990990991,1.0,0.1981981981981982
109,98.1981981981982,111,11,11,11,12,1.0,0.10091743119266056,1.0,0.2018348623853211
107,96.3963963963964,111,11,11,11,12,1.0,0.102803738317757,1.0,0.205607476635514
107,96.3963963963964,111,11,11,11,12,1.0,0.102803738317757,1.0,0.205607476635514
110,98.21428571428571,112,11,11,12,10,1.0,0.1,1.0,0.2
108,96.42857142857143,112,11,11,12,10,1.0,0.10185185185185185,1.0,0.2037037037037037
110,98.21428571428571,112,11,9,12,12,1.0,0.1,0.9090909090909091,0.18181818181818182
110,98.21428571428571,112,11,11,12,12,1.0,0.1,1.0,0.2
113,100.0,113,11,11,11,12,1.0,0.09734513274336283,1.0,0.19469026548672566
113,100.0,113,11,11,11,12,1.0,0.09734513274336283,1.0,0.19469026548672566
113,100.0,113,11,11,11,12,1.0,0.09734513274336283,1.0,0.19469026548672566
113,100.0,113,11,11,11,12,1.0,0.09734513274336283,1.0,0.19469026548672566
111,98.23008849557522,113,11,11,11,11,1.0,0.0990990990990991,1.0,0.1981981981981982
107,94.69026548672566,113,11,9,11,10,1.0,0.102803738317757,0.9090909090909091,0.18691588785046728
