count,unique,nodes_num,top10,top10_20,mid,last,precision_10,recall_10,precision_20,recall_20
138,3.3487017714147056,4121,136,1,0,0,0.3300970873786408,0.9855072463768116,0.1662621359223301,0.9927536231884058
163,3.1172308280742014,5229,158,4,0,0,0.30268199233716475,0.9693251533742331,0.15502392344497606,0.9938650306748467
204,3.229892336922103,6316,199,3,0,0,0.3153724247226624,0.9754901960784313,0.15993665874901028,0.9901960784313726
209,2.874037403740374,7272,204,4,0,0,0.28060522696011003,0.9760765550239234,0.14305364511691884,0.9952153110047847
243,2.9565640588879427,8219,239,3,0,0,0.2911084043848965,0.9835390946502057,0.1472915398660986,0.9958847736625515
302,3.3370165745856357,9050,294,7,0,0,0.32486187845303865,0.9735099337748344,0.16629834254143647,0.9966887417218543
317,3.22121735595976,9841,310,6,0,0,0.3150406504065041,0.9779179810725552,0.16056910569105692,0.9968454258675079
336,3.187250996015936,10542,329,6,0,0,0.31214421252371916,0.9791666666666666,0.15891840607210625,0.9970238095238095
357,3.1677018633540373,11270,344,11,0,0,0.3052351375332742,0.9635854341736695,0.1574977817213842,0.9943977591036415
390,3.256241128830258,11977,380,8,0,0,0.31746031746031744,0.9743589743589743,0.16200417536534448,0.9948717948717949
414,3.2642119372388234,12683,400,13,0,0,0.31545741324921134,0.966183574879227,0.16285488958990535,0.9975845410628019
427,3.1884707287933094,13392,415,11,0,0,0.309932785660941,0.9718969555035128,0.1590739357729649,0.9976580796252927
444,3.157445598065709,14062,429,14,0,0,0.3051209103840683,0.9662162162162162,0.15753911806543386,0.9977477477477478
467,3.170400543109301,14730,444,22,0,0,0.3014256619144603,0.9507494646680942,0.1581805838424983,0.9978586723768736
482,3.136387298282145,15368,464,15,0,0,0.3020833333333333,0.9626556016597511,0.155873739017247,0.9937759336099585
521,3.241864227490511,16071,499,17,0,0,0.3105164903546982,0.9577735124760077,0.16054760423148726,0.9904030710172744
511,3.0562200956937797,16720,490,15,0,0,0.2930622009569378,0.958904109589041,0.15101674641148324,0.9882583170254403
529,3.0273549273205904,17474,511,12,0,0,0.2925014310246136,0.9659735349716446,0.14968517458500286,0.9886578449905482
556,3.0682633408752276,18121,538,14,0,0,0.2969094922737307,0.9676258992805755,0.152317880794702,0.9928057553956835
573,3.0435013544377756,18827,556,12,0,1,0.29543039319872477,0.9703315881326352,0.15086321381142098,0.9912739965095986
581,2.9644369610694423,19599,561,15,0,1,0.28637059724349156,0.9655765920826161,0.146976269456494,0.9913941480206541
624,3.065134099616858,20358,599,20,0,1,0.29434889434889433,0.9599358974358975,0.15205109309751905,0.9919871794871795
625,2.945889894419306,21216,600,21,0,0,0.2828854314002829,0.96,0.14635870846099458,0.9936
625,2.831641899238855,22072,605,16,0,0,0.27412777526053467,0.968,0.14068871771635705,0.9936
618,2.695041646679168,22931,596,19,0,0,0.25992150021805493,0.9644012944983819,0.13410379415612733,0.9951456310679612
625,2.624947501049979,23810,605,18,0,0,0.254094918101638,0.968,0.13082738345233094,0.9968
656,2.6528631510837917,24728,641,11,0,0,0.2593042071197411,0.9771341463414634,0.13185035389282104,0.9939024390243902
673,2.6257266591237176,25631,658,10,0,0,0.25673039406944986,0.9777117384843982,0.13031603589543503,0.9925705794947994
668,2.5324133747820152,26378,649,13,0,0,0.24611300720515739,0.9715568862275449,0.12549763033175357,0.9910179640718563
685,2.5339399992601637,27033,667,11,0,0,0.24676285608583057,0.9737226277372263,0.12541620421753608,0.9897810218978103
726,2.6084144720296054,27833,715,5,0,0,0.25691699604743085,0.9848484848484849,0.12935680919870643,0.9917355371900827
731,2.544201587080607,28732,719,7,0,0,0.25026105116602854,0.9835841313269493,0.12634876435781414,0.9931600547195623
742,2.5030360275266497,29644,729,9,0,0,0.24595141700404857,0.9824797843665768,0.12449392712550607,0.9946091644204852
765,2.4908019405463486,30713,755,6,0,0,0.24584825789645068,0.9869281045751634,0.12390100944317811,0.9947712418300654
776,2.4294032934694134,31942,765,8,0,0,0.23951158422041327,0.9858247422680413,0.12100814026299311,0.9961340206185567
777,2.340713962946227,33195,767,6,0,0,0.23109370292256703,0.9871299871299871,0.1164331977707486,0.9948519948519948
793,2.2946265806302266,34559,783,6,0,0,0.22662807525325615,0.987389659520807,0.11416582260164955,0.9949558638083228
788,2.190349121636647,35976,778,7,1,0,0.2162913539060328,0.9873096446700508,0.10910354412786658,0.9961928934010152
798,2.1624258190391026,36903,788,7,1,0,0.21355013550135502,0.9874686716791979,0.10772357723577236,0.9962406015037594
809,2.1257587303255643,38057,795,7,1,0,0.20893561103810776,0.9826946847960445,0.10537380107738799,0.9913473423980222
834,2.1211658782237146,39318,819,7,0,0,0.20834393284151614,0.9820143884892086,0.1050489634999364,0.9904076738609112
847,2.0777627867042807,40765,833,7,0,0,0.20436702649656527,0.9834710743801653,0.10302955967128664,0.9917355371900827
872,2.0613682568200087,42302,860,5,0,0,0.2033096926713948,0.9862385321100917,0.10224586288416075,0.9919724770642202
879,2.0007283652751857,43934,866,6,0,0,0.19713180059185068,0.9852104664391353,0.09924880491691328,0.9920364050056882
864,1.909181305933046,45255,852,6,0,0,0.18828729281767956,0.9861111111111112,0.09479615512098111,0.9930555555555556
898,1.920034209963652,46770,884,7,0,0,0.18901004917682274,0.9844097995545658,0.09525336754329698,0.9922048997772829
909,1.8792640066156707,48370,897,5,0,0,0.18544552408517676,0.9867986798679867,0.09323961132933636,0.9922992299229924
921,1.8370033508855914,50136,908,6,0,0,0.18112906443247556,0.9858849077090119,0.09115388451181809,0.992399565689468
